<TIME>,USD/RUB,<LAST>
002320,USD/RUB,61.555000000
002320,USD/RUB,61.553200000
002327,USD/RUB,61.555000000
002333,USD/RUB,61.527500000
002333,USD/RUB,61.555000000
002333,USD/RUB,61.552100000
002347,USD/RUB,61.532500000
002348,USD/RUB,61.555000000
002350,USD/RUB,61.527500000
002353,USD/RUB,61.555000000
002405,USD/RUB,61.555000000
002413,USD/RUB,61.555000000
002433,USD/RUB,61.555000000
002453,USD/RUB,61.555000000
002500,USD/RUB,61.562800000
002513,USD/RUB,61.555000000
002533,USD/RUB,61.555000000
002553,USD/RUB,61.555000000
002605,USD/RUB,61.555000000
002606,USD/RUB,61.555000000
002613,USD/RUB,61.555000000
002633,USD/RUB,61.555000000
002634,USD/RUB,61.555000000
002634,USD/RUB,61.551800000
002634,USD/RUB,61.551800000
002654,USD/RUB,61.555000000
002705,USD/RUB,61.555000000
002714,USD/RUB,61.555000000
002734,USD/RUB,61.555000000
002741,USD/RUB,61.555000000
002754,USD/RUB,61.555000000
002800,USD/RUB,61.555000000
002800,USD/RUB,61.551700000
002820,USD/RUB,61.555000000
002840,USD/RUB,61.555000000
002850,USD/RUB,61.502500000
002855,USD/RUB,61.551800000
002855,USD/RUB,61.555000000
002855,USD/RUB,61.527500000
002856,USD/RUB,61.551700000
002856,USD/RUB,61.555000000
002857,USD/RUB,61.555000000
002910,USD/RUB,61.551100000
002910,USD/RUB,61.532500000
002910,USD/RUB,61.555000000
002912,USD/RUB,61.555000000
002913,USD/RUB,61.555000000
002913,USD/RUB,61.551200000
002914,USD/RUB,61.551300000
002930,USD/RUB,61.555000000
002950,USD/RUB,61.555000000
003000,USD/RUB,61.570700000
003011,USD/RUB,61.555000000
003011,USD/RUB,61.535000000
003012,USD/RUB,61.555000000
003031,USD/RUB,61.555000000
003051,USD/RUB,61.555000000
003111,USD/RUB,61.555000000
003111,USD/RUB,61.532500000
003112,USD/RUB,61.555000000
003113,USD/RUB,61.555000000
003130,USD/RUB,61.555000000
003150,USD/RUB,61.555000000
003200,USD/RUB,61.552400000
003200,USD/RUB,61.555000000
003200,USD/RUB,61.551700000
003202,USD/RUB,61.551600000
003202,USD/RUB,61.555000000
003205,USD/RUB,61.551300000
003209,USD/RUB,61.555000000
003211,USD/RUB,61.535000000
003218,USD/RUB,61.555000000
003222,USD/RUB,61.555000000
003236,USD/RUB,61.555000000
003242,USD/RUB,61.555000000
003302,USD/RUB,61.555000000
003311,USD/RUB,61.532500000
003314,USD/RUB,61.555000000
003318,USD/RUB,61.555000000
003322,USD/RUB,61.555000000
003331,USD/RUB,61.537500000
003331,USD/RUB,61.555000000
003331,USD/RUB,61.551700000
003332,USD/RUB,61.555000000
003335,USD/RUB,61.555000000
003335,USD/RUB,61.532500000
003335,USD/RUB,61.550800000
003336,USD/RUB,61.555000000
003338,USD/RUB,61.550700000
003340,USD/RUB,61.555000000
003340,USD/RUB,61.550600000
003353,USD/RUB,61.555000000
003354,USD/RUB,61.555000000
003354,USD/RUB,61.551000000
003401,USD/RUB,61.555000000
003402,USD/RUB,61.532500000
003402,USD/RUB,61.555000000
003411,USD/RUB,61.555000000
003412,USD/RUB,61.555000000
003418,USD/RUB,61.555000000
003419,USD/RUB,61.555000000
003422,USD/RUB,61.555000000
003430,USD/RUB,61.555000000
003430,USD/RUB,61.537500000
003430,USD/RUB,61.550400000
003431,USD/RUB,61.555000000
003432,USD/RUB,61.550500000
003432,USD/RUB,61.555000000
003437,USD/RUB,61.555000000
003437,USD/RUB,61.551300000
003457,USD/RUB,61.555000000
003500,USD/RUB,61.568900000
003507,USD/RUB,61.555000000
003517,USD/RUB,61.555000000
003522,USD/RUB,61.570000000
003531,USD/RUB,61.555000000
003537,USD/RUB,61.555000000
003549,USD/RUB,61.551400000
003556,USD/RUB,61.545000000
003557,USD/RUB,61.555000000
003557,USD/RUB,61.570000000
003607,USD/RUB,61.555000000
003617,USD/RUB,61.555000000
003619,USD/RUB,61.555000000
003619,USD/RUB,61.553000000
